airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
Delta Airlines,TLC,JFK,1,9,2022,89,male,On vacation/Pleasure,Home,,True,670
American Airlines,JFK,PVR,13,9,2020,81,unspecified,Business/Work,Home,,True,424
Volaris,JFK,PDX,13,3,2013,19,undisclosed,Back Home,Home,Public Transportation,False,0
Aeromar,DEN,GDL,17,1,2017,73,male,Business/Work,Friend/Family,Own car,False,0
Viva Aerobus,PVR,DEN,12,8,2016,20,unspecified,On vacation/Pleasure,Home,,True,700
Aeromar,DEN,SJC,16,10,2018,58,female,Business/Work,Hotel,Public Transportation,False,0
American Airlines,JFK,IZT,4,6,2021,16,unspecified,On vacation/Pleasure,Hotel,,True,298
American Airlines,LAX,IZT,11,1,2021,74,undisclosed,On vacation/Pleasure,Home,Airport cab,False,0
Lufthansa,TLC,GDL,12,7,2018,52,male,On vacation/Pleasure,Home,,True,326
Viva Aerobus,LAX,IZT,19,11,2018,40,undisclosed,Back Home,Home,Public Transportation,False,0
Aeromexico,GDL,JFK,1,1,2014,42,undisclosed,Back Home,Home,Pickup,False,0
Lufthansa,MTY,SJC,3,12,2021,73,male,Business/Work,Short-term homestay,Pickup,False,0
Viva Aerobus,TPQ,GDL,18,12,2013,34,unspecified,Back Home,Home,Mobility as a service,False,0
Alaska,GDL,JFK,31,8,2021,41,male,Back Home,Home,,False,0
Lufthansa,TLC,TPQ,29,6,2018,51,male,Back Home,Home,Own car,False,0
Alaska,MTY,IZT,20,11,2014,42,unspecified,On vacation/Pleasure,Home,,True,53
Alaska,PVR,JFK,4,5,2014,49,male,Back Home,Home,Own car,False,0
Volaris,LAX,GDL,18,2,2020,15,undisclosed,Business/Work,Short-term homestay,Airport cab,False,0
Aeromar,MTY,SJC,5,3,2021,46,undisclosed,Business/Work,Home,Car rental,False,0
Aeromexico,SJC,JFK,2,11,2022,10,female,On vacation/Pleasure,Friend/Family,,True,332
Viva Aerobus,TLC,IZT,10,10,2022,42,female,Back Home,Home,Airport cab,False,0
Lufthansa,TLC,GDL,12,4,2023,52,male,On vacation/Pleasure,Home,,True,387
Viva Aerobus,TPQ,LAX,19,12,2020,6,male,On vacation/Pleasure,Hotel,,True,560
American Airlines,LAX,JFK,4,8,2013,32,undisclosed,Back Home,Home,,False,0
Viva Aerobus,PDX,TLC,19,5,2015,46,male,Business/Work,Home,Mobility as a service,False,0
Aeromar,LAX,SJC,15,11,2016,77,female,Business/Work,Friend/Family,,True,42
Lufthansa,SJC,PVR,16,3,2013,62,undisclosed,Back Home,Home,Pickup,False,0
Aeromexico,TLC,SJC,11,5,2013,28,male,Business/Work,Hotel,,True,506
Volaris,TLC,MTY,28,2,2016,57,unspecified,Business/Work,Home,Airport cab,False,0
Volaris,DEN,TLC,13,6,2018,33,unspecified,Business/Work,Short-term homestay,,True,306
Alaska,TLC,PVR,12,9,2013,47,undisclosed,Back Home,Home,Pickup,False,0
Viva Aerobus,JFK,LAX,25,10,2021,53,female,Back Home,Home,,False,0
American Airlines,IZT,TPQ,29,11,2016,24,female,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Aeromexico,SJC,PDX,3,1,2023,74,female,Back Home,Home,,False,0
Delta Airlines,DEN,TLC,17,1,2017,41,unspecified,Back Home,Home,,False,0
Volaris,LAX,GDL,18,7,2014,77,female,Business/Work,Hotel,Car rental,False,0
Volaris,GDL,JFK,9,1,2017,56,female,Back Home,Home,Car rental,False,0
Viva Aerobus,TLC,MTY,21,4,2019,20,male,Back Home,Home,Car rental,False,0
Alaska,TLC,JFK,28,7,2021,53,male,Back Home,Home,Pickup,False,0
Aeromar,SJC,PDX,14,2,2013,13,unspecified,Business/Work,Short-term homestay,,True,409
American Airlines,GDL,PDX,7,12,2021,55,undisclosed,Back Home,Home,Mobility as a service,False,0
Lufthansa,DEN,LAX,25,5,2014,47,female,On vacation/Pleasure,Hotel,Public Transportation,False,0
Aeromexico,LAX,TPQ,30,3,2023,42,undisclosed,Back Home,Home,Airport cab,False,0
Alaska,JFK,LAX,9,6,2022,3,male,Back Home,Home,Airport cab,False,0
Alaska,SJC,TPQ,17,6,2017,79,male,Back Home,Home,Pickup,False,0
Aeromexico,LAX,DEN,23,2,2023,63,unspecified,Back Home,Home,,False,0
Alaska,PDX,LAX,4,4,2020,22,female,Business/Work,Home,Own car,False,0
American Airlines,PDX,GDL,3,4,2013,41,male,On vacation/Pleasure,Home,,True,209
Delta Airlines,MTY,PDX,14,9,2018,72,female,On vacation/Pleasure,Home,Airport cab,False,0
Alaska,PDX,LAX,30,6,2021,38,male,Business/Work,Friend/Family,Car rental,False,0
American Airlines,MTY,IZT,26,10,2013,33,male,Business/Work,Hotel,,True,655
Aeromar,IZT,PDX,29,7,2022,34,unspecified,Business/Work,Friend/Family,Pickup,False,0
Delta Airlines,DEN,JFK,9,4,2013,46,female,Business/Work,Friend/Family,,True,310
Aeromexico,GDL,SJC,9,5,2014,19,male,Back Home,Home,Airport cab,False,0
Lufthansa,PDX,TLC,27,8,2021,54,female,Back Home,Home,,False,0
Viva Aerobus,IZT,PVR,7,10,2013,64,unspecified,Back Home,Home,,False,0
Viva Aerobus,SJC,TLC,27,7,2016,84,male,On vacation/Pleasure,Short-term homestay,,True,226
Volaris,JFK,MTY,20,1,2021,5,female,On vacation/Pleasure,Hotel,Car rental,False,0
Viva Aerobus,GDL,MTY,18,10,2019,84,female,Back Home,Home,,False,0
Aeromexico,MTY,PDX,8,3,2023,31,male,Business/Work,Home,,True,632
American Airlines,IZT,TLC,4,7,2020,36,unspecified,On vacation/Pleasure,Friend/Family,Own car,False,0
Delta Airlines,SJC,PDX,23,3,2015,44,female,Business/Work,Hotel,Own car,False,0
Delta Airlines,DEN,GDL,18,5,2021,63,female,On vacation/Pleasure,Hotel,,True,252
Volaris,JFK,DEN,29,5,2016,9,male,Business/Work,Short-term homestay,Car rental,False,0
Alaska,MTY,TLC,5,2,2019,90,unspecified,Business/Work,Home,Pickup,False,0
Aeromar,PVR,JFK,5,3,2021,2,undisclosed,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Volaris,PDX,JFK,14,8,2022,90,male,Business/Work,Hotel,Own car,False,0
Delta Airlines,IZT,GDL,14,1,2017,26,unspecified,On vacation/Pleasure,Hotel,Airport cab,False,0
American Airlines,TLC,DEN,23,1,2020,26,male,Back Home,Home,,False,0
Aeromar,JFK,TLC,10,7,2021,80,female,Back Home,Home,Public Transportation,False,0
Lufthansa,MTY,JFK,7,3,2013,56,female,Back Home,Home,Car rental,False,0
American Airlines,PVR,LAX,7,5,2016,67,unspecified,Business/Work,Friend/Family,Airport cab,False,0
Viva Aerobus,TPQ,IZT,7,6,2021,71,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0
Volaris,SJC,IZT,24,1,2017,3,undisclosed,Back Home,Home,,False,0
Volaris,PDX,GDL,29,5,2018,38,undisclosed,Back Home,Home,,False,0
Delta Airlines,SJC,DEN,12,6,2015,78,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0
American Airlines,TPQ,PVR,12,3,2016,89,undisclosed,Back Home,Home,Mobility as a service,False,0
Aeromar,MTY,IZT,6,11,2016,10,unspecified,On vacation/Pleasure,Hotel,Airport cab,False,0
Volaris,PVR,DEN,2,4,2020,69,undisclosed,Business/Work,Hotel,Pickup,False,0
Viva Aerobus,TLC,DEN,13,7,2020,64,female,On vacation/Pleasure,Friend/Family,,True,328
American Airlines,SJC,TPQ,26,6,2015,12,female,Back Home,Home,,False,0
Volaris,IZT,TLC,15,5,2022,62,undisclosed,Business/Work,Hotel,,True,140
Alaska,PVR,PDX,28,9,2015,53,undisclosed,Back Home,Home,,False,0
Lufthansa,JFK,GDL,9,3,2020,12,unspecified,Back Home,Home,,False,0
Aeromar,MTY,PVR,23,4,2021,7,female,Business/Work,Home,,True,652
Aeromexico,GDL,LAX,9,2,2017,44,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Volaris,DEN,GDL,15,1,2013,74,unspecified,On vacation/Pleasure,Hotel,,True,516
Viva Aerobus,GDL,TPQ,25,7,2013,32,female,Business/Work,Friend/Family,,True,681
Lufthansa,PDX,LAX,6,4,2020,54,male,Business/Work,Friend/Family,Airport cab,False,0
Aeromar,JFK,PVR,2,1,2022,47,undisclosed,Business/Work,Home,,True,75
Volaris,TLC,LAX,24,9,2017,37,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,MTY,JFK,14,8,2019,86,female,On vacation/Pleasure,Short-term homestay,,True,85
Aeromar,PDX,SJC,15,1,2019,20,undisclosed,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Alaska,PDX,GDL,12,2,2020,73,female,Business/Work,Home,Mobility as a service,False,0
Alaska,DEN,TPQ,2,5,2013,24,female,Business/Work,Hotel,Airport cab,False,0
American Airlines,JFK,DEN,23,9,2013,54,male,Business/Work,Short-term homestay,Own car,False,0
Viva Aerobus,TPQ,SJC,21,1,2013,71,female,Back Home,Home,Public Transportation,False,0
American Airlines,PDX,DEN,28,6,2021,19,unspecified,Back Home,Home,,False,0
Lufthansa,PVR,DEN,26,5,2016,73,unspecified,On vacation/Pleasure,Friend/Family,,True,60
American Airlines,PVR,TPQ,28,7,2021,10,female,Business/Work,Short-term homestay,,True,118
Viva Aerobus,TLC,MTY,22,12,2013,55,male,On vacation/Pleasure,Friend/Family,,True,385
Viva Aerobus,DEN,JFK,18,12,2013,60,male,Back Home,Home,,False,0
Viva Aerobus,DEN,MTY,12,2,2013,78,male,On vacation/Pleasure,Hotel,,True,169
Viva Aerobus,MTY,TPQ,14,2,2017,9,unspecified,Business/Work,Hotel,Public Transportation,False,0
Aeromar,LAX,JFK,26,7,2022,8,undisclosed,On vacation/Pleasure,Friend/Family,,True,50
Lufthansa,GDL,TPQ,8,1,2016,76,male,Business/Work,Friend/Family,Pickup,False,0
Lufthansa,GDL,JFK,1,1,2023,7,undisclosed,Business/Work,Short-term homestay,Public Transportation,False,0
Aeromexico,PDX,DEN,8,1,2022,27,undisclosed,On vacation/Pleasure,Short-term homestay,,True,265
Alaska,DEN,PVR,26,12,2014,20,undisclosed,Back Home,Home,Public Transportation,False,0
Delta Airlines,IZT,TPQ,10,3,2022,13,male,Back Home,Home,,False,0
Delta Airlines,DEN,SJC,30,9,2018,1,female,On vacation/Pleasure,Short-term homestay,,True,85
Delta Airlines,MTY,TPQ,23,11,2016,29,female,Back Home,Home,Mobility as a service,False,0
Delta Airlines,JFK,TLC,8,2,2019,45,male,On vacation/Pleasure,Short-term homestay,,True,53
Aeromar,TPQ,SJC,14,9,2015,52,undisclosed,Business/Work,Short-term homestay,,True,713
Aeromexico,LAX,JFK,12,4,2020,81,male,Business/Work,Home,,True,111
Alaska,PDX,IZT,19,9,2019,6,female,Business/Work,Short-term homestay,Own car,False,0
Volaris,TPQ,PDX,17,8,2022,64,male,Back Home,Home,Public Transportation,False,0
Alaska,DEN,PVR,15,6,2013,67,unspecified,Back Home,Home,Mobility as a service,False,0
Alaska,DEN,IZT,27,9,2013,30,undisclosed,On vacation/Pleasure,Friend/Family,,True,629
Alaska,MTY,IZT,25,6,2014,29,unspecified,Business/Work,Friend/Family,Public Transportation,False,0
Lufthansa,TPQ,SJC,14,3,2021,57,female,Back Home,Home,,False,0
Alaska,SJC,DEN,14,2,2014,50,unspecified,Business/Work,Hotel,,True,80
Volaris,LAX,JFK,13,11,2016,57,undisclosed,Business/Work,Home,,True,187
Alaska,TPQ,JFK,10,12,2016,65,female,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Viva Aerobus,TLC,JFK,25,1,2016,58,female,On vacation/Pleasure,Friend/Family,,True,615
Aeromexico,IZT,TLC,12,6,2019,83,undisclosed,Business/Work,Home,Airport cab,False,0
Aeromar,TPQ,TLC,15,12,2020,86,male,Business/Work,Short-term homestay,,True,674
Alaska,TLC,DEN,24,5,2022,71,female,Back Home,Home,,False,0
Aeromar,DEN,MTY,11,4,2018,67,female,Business/Work,Hotel,Car rental,False,0
Viva Aerobus,MTY,JFK,27,8,2021,31,undisclosed,Business/Work,Friend/Family,,True,190
Volaris,PVR,TLC,21,2,2014,63,male,Business/Work,Hotel,,True,412
Delta Airlines,MTY,LAX,20,10,2016,30,unspecified,Business/Work,Hotel,,True,285
Viva Aerobus,JFK,IZT,27,12,2022,45,unspecified,Back Home,Home,,False,0
Aeromexico,PVR,SJC,12,5,2019,89,unspecified,Back Home,Home,,False,0
American Airlines,GDL,TPQ,22,4,2020,70,unspecified,On vacation/Pleasure,Hotel,,True,563
Lufthansa,PDX,PVR,5,9,2013,79,undisclosed,On vacation/Pleasure,Friend/Family,,True,131
Volaris,GDL,DEN,11,5,2013,4,male,On vacation/Pleasure,Friend/Family,Car rental,False,0
American Airlines,DEN,PDX,5,11,2018,15,undisclosed,Back Home,Home,Mobility as a service,False,0
Aeromar,IZT,JFK,19,1,2013,39,male,On vacation/Pleasure,Friend/Family,,True,550
American Airlines,GDL,MTY,13,6,2015,25,male,On vacation/Pleasure,Short-term homestay,,True,262
American Airlines,IZT,SJC,29,5,2022,83,female,Back Home,Home,,False,0
Aeromexico,DEN,JFK,17,11,2018,45,undisclosed,Back Home,Home,,False,0
Viva Aerobus,GDL,TLC,14,2,2013,45,male,Back Home,Home,Car rental,False,0
Lufthansa,TPQ,GDL,22,4,2016,64,female,Business/Work,Home,Car rental,False,0
Aeromar,GDL,PDX,11,3,2023,70,undisclosed,Back Home,Home,,False,0
Aeromexico,PDX,IZT,23,10,2021,45,female,On vacation/Pleasure,Short-term homestay,,True,80
Volaris,TPQ,PVR,22,2,2021,37,female,Business/Work,Hotel,Pickup,False,0
Lufthansa,MTY,JFK,9,5,2019,63,unspecified,On vacation/Pleasure,Hotel,,True,357
Lufthansa,PDX,TPQ,28,10,2021,28,unspecified,Business/Work,Hotel,,True,494
Lufthansa,JFK,PDX,29,9,2019,1,male,On vacation/Pleasure,Hotel,Own car,False,0
Volaris,TPQ,MTY,8,7,2022,73,male,Business/Work,Hotel,,True,540
Alaska,TPQ,SJC,1,2,2021,28,female,On vacation/Pleasure,Friend/Family,Pickup,False,0
Alaska,IZT,TLC,1,10,2019,83,undisclosed,On vacation/Pleasure,Friend/Family,Car rental,False,0
Volaris,LAX,PVR,20,7,2020,81,male,On vacation/Pleasure,Hotel,,True,232
Alaska,GDL,PVR,20,12,2015,5,male,Back Home,Home,,False,0
Lufthansa,SJC,MTY,1,6,2018,58,male,Business/Work,Home,,True,117
Aeromar,DEN,TLC,28,8,2021,10,female,Back Home,Home,,False,0
Volaris,PDX,LAX,22,5,2015,82,undisclosed,Back Home,Home,,False,0
Alaska,LAX,TLC,14,11,2016,32,female,Back Home,Home,Airport cab,False,0
Aeromexico,TLC,SJC,7,1,2014,16,female,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Alaska,TPQ,GDL,22,11,2016,26,undisclosed,Back Home,Home,,False,0
Volaris,IZT,DEN,20,10,2022,46,undisclosed,Back Home,Home,,False,0
Lufthansa,MTY,LAX,19,4,2021,5,female,Business/Work,Short-term homestay,Mobility as a service,False,0
Aeromar,DEN,PVR,4,6,2018,77,male,Back Home,Home,Car rental,False,0
American Airlines,SJC,TPQ,8,2,2020,51,unspecified,Business/Work,Short-term homestay,,True,118
Viva Aerobus,IZT,TLC,19,1,2015,51,unspecified,Business/Work,Short-term homestay,Public Transportation,False,0
Lufthansa,MTY,PVR,17,5,2015,7,male,On vacation/Pleasure,Home,Public Transportation,False,0
Aeromar,TLC,TPQ,24,8,2020,19,female,Back Home,Home,Public Transportation,False,0
American Airlines,JFK,TLC,9,11,2020,67,male,Back Home,Home,,False,0
Alaska,JFK,PVR,28,10,2017,23,undisclosed,On vacation/Pleasure,Short-term homestay,,True,305
Viva Aerobus,JFK,MTY,12,3,2017,3,unspecified,On vacation/Pleasure,Friend/Family,Pickup,False,0
Viva Aerobus,LAX,SJC,20,2,2021,17,unspecified,Business/Work,Short-term homestay,,True,397
American Airlines,LAX,PVR,16,5,2017,58,female,Business/Work,Friend/Family,,True,410
Viva Aerobus,SJC,GDL,6,7,2022,46,male,Business/Work,Friend/Family,Pickup,False,0
Aeromar,MTY,PDX,20,2,2017,68,male,On vacation/Pleasure,Friend/Family,,True,452
Aeromar,TLC,DEN,23,2,2018,68,undisclosed,On vacation/Pleasure,Friend/Family,Car rental,False,0
Viva Aerobus,JFK,PDX,24,8,2020,84,female,Back Home,Home,,False,0
Alaska,IZT,LAX,19,11,2014,9,unspecified,On vacation/Pleasure,Hotel,,True,548
American Airlines,PVR,TLC,21,7,2015,86,unspecified,Business/Work,Hotel,,True,528
Lufthansa,DEN,IZT,1,12,2022,84,unspecified,On vacation/Pleasure,Friend/Family,Own car,False,0
Lufthansa,SJC,PVR,24,7,2022,84,unspecified,Business/Work,Short-term homestay,,True,354
Alaska,PVR,DEN,26,3,2017,11,female,On vacation/Pleasure,Short-term homestay,,True,394
Lufthansa,IZT,LAX,3,2,2021,38,undisclosed,Back Home,Home,,False,0
Delta Airlines,SJC,TLC,8,4,2017,36,undisclosed,Back Home,Home,Public Transportation,False,0
Volaris,GDL,TPQ,5,5,2015,87,undisclosed,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Delta Airlines,TLC,PDX,6,8,2013,39,undisclosed,Back Home,Home,Car rental,False,0
Viva Aerobus,PDX,JFK,24,6,2019,77,male,Back Home,Home,Car rental,False,0
American Airlines,GDL,PVR,8,5,2014,58,male,Back Home,Home,Car rental,False,0
Aeromar,PVR,MTY,4,11,2014,46,unspecified,On vacation/Pleasure,Friend/Family,Car rental,False,0
Viva Aerobus,PDX,GDL,3,3,2016,58,female,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Volaris,PVR,TLC,2,7,2019,16,female,Back Home,Home,Mobility as a service,False,0
American Airlines,PDX,SJC,22,6,2022,76,unspecified,On vacation/Pleasure,Home,,True,47
Aeromexico,LAX,MTY,31,12,2016,56,female,Back Home,Home,Car rental,False,0
Viva Aerobus,MTY,TPQ,15,8,2013,15,unspecified,Business/Work,Hotel,,True,596
Aeromexico,PDX,MTY,17,11,2021,47,male,Business/Work,Hotel,Airport cab,False,0
Delta Airlines,TPQ,GDL,9,1,2020,29,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Alaska,JFK,IZT,7,7,2021,33,male,Business/Work,Short-term homestay,,True,503
American Airlines,LAX,TLC,16,6,2022,7,unspecified,Back Home,Home,Car rental,False,0
Volaris,LAX,TLC,24,8,2019,77,unspecified,Back Home,Home,,False,0
Lufthansa,PVR,GDL,25,2,2023,62,unspecified,Business/Work,Home,Airport cab,False,0
Aeromexico,DEN,PVR,13,3,2014,23,male,Business/Work,Short-term homestay,Airport cab,False,0
Alaska,TPQ,PDX,1,1,2015,9,undisclosed,On vacation/Pleasure,Short-term homestay,,True,207
Aeromexico,LAX,TPQ,14,10,2014,70,female,Back Home,Home,,False,0
Alaska,TPQ,PDX,1,3,2021,34,female,On vacation/Pleasure,Short-term homestay,Car rental,False,0
American Airlines,IZT,SJC,11,5,2014,37,male,On vacation/Pleasure,Home,,True,332
Lufthansa,JFK,IZT,17,5,2018,43,unspecified,Back Home,Home,Car rental,False,0
Aeromar,GDL,PDX,16,6,2016,18,male,Back Home,Home,,False,0
American Airlines,GDL,PDX,14,8,2013,37,male,Business/Work,Friend/Family,Public Transportation,False,0
Lufthansa,PDX,JFK,28,7,2019,89,male,Back Home,Home,,False,0
Volaris,IZT,PDX,6,1,2021,13,undisclosed,Back Home,Home,Own car,False,0
Volaris,MTY,DEN,3,8,2022,35,male,Business/Work,Hotel,,True,668
